Subject,Description,Section,Days,Start_Time,End_Time,Room (Capacity),Enrollment_Cap,Instructor,Session,Units
,ECON 367 - Industrial Strategy: Government Action to Transform the Economy,100-SEM(10221),"Mon,Wed",12:45PM,2:00PM,PBL 05,18.0,"Helper,Susan",,3.0
ECON,ECON 391 - Advanced Topics and Writing in Economics,*100-SEM(1358),"Tue,Thu",10:00AM,11:15AM,PBL 220,18,"Hawkins,Jenny Rae",Regular,3
ECON,ECON 395 - Capstone Research in Economics,*100-SEM(1359),Fri,9:00AM,11:00AM,To Be Announced,26,"Clingingsmith, David
Hawkins,Jenny Rae",Dyn Dt,3
ECON,ECON 395 - Capstone Research in Economics,*100-SEM(1359),Tue,5:30PM,7:30PM,To Be Announced,26,"Clingingsmith, David
Hawkins,Jenny Rae",Dyn Dt,3
ECON,ECON 395 - Capstone Research in Economics,*100-SEM(1359),"Tue,Thu",1:00PM,2:15PM,PBL 258,26,"Clingingsmith, David
Hawkins,Jenny Rae",Dyn Dt,3
ECON,ECON 395 - Capstone Research in Economics,*101-SEM(1553),Fri,9:00AM,11:00AM,To Be Announced,27,"Schweitzer,Mark Edward",Dyn Dt,3
ECON,ECON 395 - Capstone Research in Economics,*101-SEM(1553),Tue,5:30PM,7:30PM,To Be Announced,27,"Schweitzer,Mark Edward",Dyn Dt,3
ECON,ECON 395 - Capstone Research in Economics,*101-SEM(1553),"Tue,Thu",1:00PM,2:15PM,PBL 220,27,"Schweitzer,Mark Edward",Dyn Dt,3
ECON,ECON 431 - Economics of Negotiation and Conflict Resolution,*100-LEC(1470),Wed,6:00PM,8:30PM,PBL 401,37 (57),"Sheremeta,Roman M",Regular,3
ORBH,ORBH 413 - Economics of Negotiation and Conflict Resolution,*100-LEC(1485),Wed,6:00PM,8:30PM,PBL 401,20 (57),"Sheremeta,Roman M",Regular,3
,ECON 3XX - Allocating Scarce Resources: Are Free Markets Always the Best Way?,,"Tue,Thu",11:30AM,12:45PM,PBL 220,,"Wolcowitz, Jeffrey",,
BAFI,ENTP 444 - Entrepreneurial Finance,*100-LEC(1304),Thu,6:00PM,8:45PM,PBL 02,50   59,"Goldberg,Michael; Schwarzinger,Todd  ; Todia,Liz",Regular,3
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Fri,10:15AM,12:15PM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Fri,1:15PM,3:15PM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Fri,8:00AM,10:00AM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Sat,10:15AM,12:15PM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Sat,1:15PM,5:30PM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Sat,8:00AM,10:00AM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Thu,10:15AM,12:15PM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 437 - Economic Analysis for Managers,*100-SEM(1265),Thu,1:15PM,3:15PM,To Be Announced,50,"Votruba,Mark",Dyn Dt,2.5
EMBA,EMBA 439 - Corporate Finance,*100-SEM(1266),Fri,10:15AM,12:15PM,To Be Announced,50,"Gupta,Anurag",Dyn Dt,2.5
EMBA,EMBA 439 - Corporate Finance,*100-SEM(1266),Fri,1:15PM,3:15PM,To Be Announced,50,"Gupta,Anurag",Dyn Dt,2.5
EMBA,EMBA 439 - Corporate Finance,*100-SEM(1266),Fri,8:00AM,12:15PM,To Be Announced,50,"Gupta,Anurag",Dyn Dt,2.5
EMBA,EMBA 439 - Corporate Finance,*100-SEM(1266),Sat,10:15AM,12:15PM,To Be Announced,50,"Gupta,Anurag",Dyn Dt,2.5
EMBA,EMBA 439 - Corporate Finance,*100-SEM(1266),Sat,8:00AM,12:15PM,To Be Announced,50,"Gupta,Anurag",Dyn Dt,2.5
EMBA,EMBA 439 - Corporate Finance,*100-SEM(1266),Thu,10:15AM,12:15PM,To Be Announced,50,"Gupta,Anurag",Dyn Dt,2.5
EMBA,EMBA 439 - Corporate Finance,*100-SEM(1266),Thu,3:30PM,5:30PM,To Be Announced,50,"Gupta,Anurag",Dyn Dt,2.5
EMBA,EMBA 442 - Innovation,*100-LEC(1255),Fri,8:00AM,10:00AM,To Be Announced,50,"Agamanolis,Stefan",Dyn Dt,2.5
EMBA,EMBA 442 - Innovation,*100-LEC(1255),Sat,8:00AM,12:15PM,To Be Announced,50,"Agamanolis,Stefan",Dyn Dt,2.5
EMBA,EMBA 442 - Innovation,*100-LEC(1255),Thu,8:00AM,12:15PM,To Be Announced,50,"Agamanolis,Stefan",Dyn Dt,2.5
EMBA,EMBA 449 - Contemporary Issues in Management,*100-LEC(1272),Fri,10:15AM,12:15PM,To Be Announced,50,"Bailey,Bernard Craig",Dyn Dt,2.5
EMBA,EMBA 449 - Contemporary Issues in Management,*100-LEC(1272),Fri,1:15PM,3:15PM,To Be Announced,50,"Bailey,Bernard Craig",Dyn Dt,2.5
EMBA,EMBA 449 - Contemporary Issues in Management,*100-LEC(1272),Fri,8:00AM,10:00AM,To Be Announced,50,"Bailey,Bernard Craig",Dyn Dt,2.5
EMBA,EMBA 449 - Contemporary Issues in Management,*100-LEC(1272),Sat,1:15PM,3:15PM,To Be Announced,50,"Bailey,Bernard Craig",Dyn Dt,2.5
EMBA,EMBA 449 - Contemporary Issues in Management,*100-LEC(1272),Thu,10:15AM,12:15PM,To Be Announced,50,"Bailey,Bernard Craig",Dyn Dt,2.5
